City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,oriximina,-1.7656,-55.8661,33.97,44,68,1.73,BR,1730744937
256,yeed,4.55,43.0333,28.98,51,97,3.89,SO,1730744939
257,weno,7.4515,151.8468,28.97,84,100,3.6,FM,1730744940
258,zemio,5.0314,25.1361,21.78,96,98,1.88,CF,1730744941
259,talnakh,69.4865,88.3972,-4.73,95,93,5.76,RU,1730744942
260,ladario,-19.0047,-57.6017,36.05,49,20,2.57,BR,1730744943
261,pangody,65.85,74.4859,-6.4,94,99,5.93,RU,1730744944
262,linping,30.4225,120.2972,16.97,83,80,2.77,CN,1730744945
263,new norfolk,-42.7826,147.0587,6.07,98,67,1.38,AU,1730744947
264,xilin hot,43.9667,116.0333,-3.75,44,2,3.93,CN,1730744948
265,vanimo,-2.6741,141.3028,25.29,90,83,2.29,PG,1730744949
266,conception bay south,47.4999,-52.9981,3.19,64,100,7.2,CA,1730744950
267,fuglafjordur,62.244,-6.814,9.96,94,100,4.06,FO,1730744951
268,soe,-9.8607,124.284,18.6,93,54,1.83,ID,1730744952
269,bandar abbas,27.1865,56.2808,27.99,69,0,2.06,IR,1730744953
270,keflavik,64.0049,-22.5624,7.24,81,100,3.09,IS,1730744954
271,awjilah,29.1081,21.2869,20.19,43,0,2.55,LY,1730744955
272,nar'yan-mar,67.6713,53.087,-2.06,97,99,3.95,RU,1730744956
273,vershino-darasunskiy,52.35,115.5167,-12.1,81,38,1.59,RU,1730744959
274,algarrobo,10.1869,-74.5753,27.88,74,90,3.26,CO,1730744960
275,kolobrzeg,54.1757,15.5834,7.76,65,13,2.85,PL,1730744961
276,kapa'a,22.0752,-159.319,26.18,85,75,6.17,US,1730744962
277,bafq,31.6128,55.4107,25.67,23,2,1.58,IR,1730744963
278,shakawe,-18.3667,21.85,27.09,44,88,3.3,BW,1730744964
279,port macquarie,-31.4333,152.9167,20.04,93,82,1.34,AU,1730744965
280,lincroft,40.3307,-74.121,15.64,65,89,0.89,US,1730744966
281,papao,-17.75,-149.55,26.82,77,100,2.99,PF,1730744968
282,kondopoga,62.2057,34.2614,-2.17,71,12,3.71,RU,1730744969
283,vilyuysk,63.7553,121.6247,-20.96,100,90,1.2,RU,1730744970
284,tralee,52.2704,-9.7026,12.14,82,100,3.09,IE,1730744972
285,brookings,44.3114,-96.7984,11.73,84,100,7.72,US,1730744973
286,weyburn,49.6668,-103.8511,2.12,64,2,3.09,CA,1730744974
287,montepuez,-13.1256,38.9997,25.91,56,48,4.28,MZ,1730744975
288,narrabri,-30.3167,149.7833,21.39,50,31,1.71,AU,1730744700
289,sesvete,45.8311,16.1164,8.78,81,0,0.0,HR,1730744977
290,galesong,-5.3166,119.3661,26.56,77,76,1.67,ID,1730744979
291,kailua-kona,19.6406,-155.9956,25.98,75,0,0.0,US,1730744709
292,porto novo,6.4965,2.6036,27.9,68,20,1.79,BJ,1730744981
293,afaahiti,-17.75,-149.2833,24.47,84,99,4.31,PF,1730744982
294,wellington,-41.2866,174.7756,13.81,86,40,11.32,NZ,1730744983
295,avarua,-21.2078,-159.775,23.03,94,100,2.57,CK,1730744984
296,selkirk,50.1436,-96.8845,5.66,91,100,3.13,CA,1730744985
297,yaren,-0.5472,166.916,28.08,69,99,4.84,NR,1730744986
298,marat,25.0701,45.4615,25.4,22,0,3.5,SA,1730744987
299,ilebo,-4.3167,20.5833,22.43,97,97,0.75,CD,1730744989
300,kirikhan,36.4994,36.3576,16.93,67,40,2.06,TR,1730744990
301,shortandy,51.7006,70.9994,-2.31,79,46,4.44,KZ,1730744991
302,ambovombe,-25.1667,46.0833,22.71,83,5,8.75,MG,1730744992
303,merizo village,13.2658,144.6691,27.31,88,6,5.73,GU,1730744993
304,marathon,44.9,-89.7668,14.84,94,100,4.63,US,1730744994
305,genoa,44.4129,8.9573,17.39,77,0,1.54,IT,1730744995
306,jiayuguan,39.8167,98.3,5.25,31,7,2.63,CN,1730744996
307,tshabong,-26.05,22.45,23.33,16,76,10.44,BW,1730744997
308,lamu,-2.2717,40.902,26.6,84,84,5.63,KE,1730744556
309,mersa matruh,31.3525,27.2453,20.94,63,54,3.53,EG,1730744999
310,chippewa falls,44.9369,-91.3929,15.55,97,100,1.54,US,1730745001
